dataset,alpha,threshold,topics,NMI,matched,total,coverage_%,FMR_%,runtime_s,phase,
T,0.4,0.5,394,0.0000,5938,11108,53.46,53.46,2721.58,coarse,
T,0.4,0.6,263,0.8694,5978,11108,53.82,53.82,1447.36,coarse,
T,0.4,0.7,234,0.8734,7075,11108,63.69,63.69,1071.06,coarse,
T,0.4,0.8,187,0.8434,8455,11108,76.12,76.12,625.03,coarse,
T,0.4,0.9,114,0.7621,9754,11108,87.81,87.81,228.06,coarse,
T,0.5,0.5,431,0.8835,5214,11108,46.94,46.94,340.72,coarse,
T,0.5,0.6,316,0.8737,5740,11108,51.67,51.67,261.41,coarse,
T,0.5,0.7,242,0.8790,6995,11108,62.97,62.97,260.02,coarse,
T,0.5,0.8,203,0.8562,8075,11108,72.70,72.70,136.18,coarse,
T,0.5,0.9,141,0.8034,9708,11108,87.40,87.40,59.23,coarse,
T,0.6,0.5,511,0.8748,4338,11108,39.05,39.05,79.37,coarse,
T,0.6,0.6,332,0.8720,4953,11108,44.59,44.59,60.08,coarse,
T,0.6,0.7,241,0.8720,6834,11108,61.52,61.52,29.42,coarse,
T,0.6,0.8,203,0.8670,7566,11108,68.11,68.11,43.40,coarse,
T,0.6,0.9,151,0.7994,8990,11108,80.93,80.93,23.30,coarse,
T,0.7,0.5,576,0.8919,4999,11108,45.00,45.00,39.44,coarse,
T,0.7,0.6,381,0.8884,4842,11108,43.59,43.59,30.11,coarse,
T,0.7,0.7,280,0.8667,6187,11108,55.70,55.70,23.97,coarse,
T,0.7,0.8,195,0.8616,8175,11108,73.60,73.60,18.31,coarse,
T,0.7,0.9,133,0.7942,9521,11108,85.71,85.71,17.12,coarse,
T,0.8,0.5,705,0.8992,4322,11108,38.91,38.91,47.05,coarse,
T,0.8,0.6,415,0.8668,4559,11108,41.04,41.04,31.29,coarse,
T,0.8,0.7,279,0.8489,6156,11108,55.42,55.42,22.04,coarse,
T,0.8,0.8,191,0.8294,8076,11108,72.70,72.70,16.61,coarse,
T,0.8,0.9,154,0.7852,8710,11108,78.41,78.41,15.38,coarse,
T,0.9,0.5,779,0.8932,3844,11108,34.61,34.61,46.47,coarse,
T,0.9,0.6,536,0.8919,4339,11108,39.06,39.06,37.45,coarse,
T,0.9,0.7,340,0.8730,5790,11108,52.12,52.12,26.37,coarse,
T,0.9,0.8,219,0.8133,7670,11108,69.05,69.05,18.24,coarse,
T,0.9,0.9,151,0.7459,9278,11108,83.53,83.53,15.79,coarse,
TS,0.4,0.5,262,0.9254,7533,11109,67.81,67.81,310.39,coarse,
TS,0.4,0.6,196,0.9189,7785,11109,70.08,70.08,97.05,coarse,
TS,0.4,0.7,163,0.9119,8664,11109,77.99,77.99,64.78,coarse,
TS,0.4,0.8,111,0.7945,9143,11109,82.30,82.30,37.02,coarse,
TS,0.4,0.9,70,0.6075,11006,11109,99.07,99.07,23.24,coarse,
TS,0.5,0.5,332,0.9231,7724,11109,69.53,69.53,33.18,coarse,
TS,0.5,0.6,203,0.9174,8146,11109,73.33,73.33,22.89,coarse,
TS,0.5,0.7,169,0.9029,9022,11109,81.21,81.21,18.94,coarse,
TS,0.5,0.8,133,0.8152,9243,11109,83.20,83.20,17.93,coarse,
TS,0.5,0.9,30,0.5485,11050,11109,99.47,99.47,9.87,coarse,
TS,0.6,0.5,399,0.9187,6432,11109,57.90,57.90,28.30,coarse,
TS,0.6,0.6,224,0.9086,7521,11109,67.70,67.70,20.87,coarse,
TS,0.6,0.7,157,0.9149,8796,11109,79.18,79.18,16.52,coarse,
TS,0.6,0.8,137,0.8240,9305,11109,83.76,83.76,16.90,coarse,
TS,0.6,0.9,33,0.6254,11103,11109,99.95,99.95,9.71,coarse,
TS,0.7,0.5,571,0.9014,6414,11109,57.74,57.74,33.08,coarse,
TS,0.7,0.6,260,0.8925,6539,11109,58.86,58.86,19.48,coarse,
TS,0.7,0.7,172,0.8989,8309,11109,74.80,74.80,16.93,coarse,
TS,0.7,0.8,101,0.7789,10077,11109,90.71,90.71,13.04,coarse,
TS,0.7,0.9,50,0.6123,10810,11109,97.31,97.31,9.07,coarse,
TS,0.8,0.5,653,0.8912,6175,11109,55.59,55.59,42.31,coarse,
TS,0.8,0.6,305,0.9008,6270,11109,56.44,56.44,25.00,coarse,
TS,0.8,0.7,181,0.8571,8335,11109,75.03,75.03,15.86,coarse,
TS,0.8,0.8,124,0.7622,9724,11109,87.53,87.53,13.82,coarse,
TS,0.8,0.9,53,0.6222,11058,11109,99.54,99.54,9.36,coarse,
TS,0.9,0.5,680,0.8877,5820,11109,52.39,52.39,45.94,coarse,
TS,0.9,0.6,382,0.8905,5898,11109,53.09,53.09,26.94,coarse,
TS,0.9,0.7,207,0.8497,7790,11109,70.12,70.12,17.53,coarse,
TS,0.9,0.8,116,0.7667,9995,11109,89.97,89.97,13.07,coarse,
TS,0.9,0.9,54,0.5771,10867,11109,97.82,97.82,10.26,coarse,
S,0.4,0.5,260,0.8792,8272,11108,74.47,74.47,372.62,coarse,
S,0.4,0.6,189,0.8815,8347,11108,75.14,75.14,186.66,coarse,
S,0.4,0.7,159,0.8538,9196,11108,82.79,82.79,137.33,coarse,
S,0.4,0.8,104,0.7349,10095,11108,90.88,90.88,65.51,coarse,
S,0.4,0.9,31,0.5121,11108,11108,100.00,100.00,19.90,coarse,
S,0.5,0.5,359,0.8879,7233,11108,65.12,65.12,109.12,coarse,
S,0.5,0.6,191,0.8941,8282,11108,74.56,74.56,36.60,coarse,
S,0.5,0.7,165,0.8720,8888,11108,80.01,80.01,32.49,coarse,
S,0.5,0.8,127,0.7966,9256,11108,83.33,83.33,26.47,coarse,
S,0.5,0.9,29,0.5013,10933,11108,98.42,98.42,11.10,coarse,
S,0.6,0.5,423,0.8829,6859,11108,61.75,61.75,30.63,coarse,
S,0.6,0.6,239,0.8889,6875,11108,61.89,61.89,23.81,coarse,
S,0.6,0.7,169,0.8674,8123,11108,73.13,73.13,19.45,coarse,
S,0.6,0.8,124,0.7829,9496,11108,85.49,85.49,13.45,coarse,
S,0.6,0.9,44,0.5385,10757,11108,96.84,96.84,10.74,coarse,
S,0.7,0.5,564,0.8643,6276,11108,56.50,56.50,36.92,coarse,
S,0.7,0.6,286,0.8724,6986,11108,62.89,62.89,21.51,coarse,
S,0.7,0.7,180,0.8242,8046,11108,72.43,72.43,18.66,coarse,
S,0.7,0.8,103,0.7497,10400,11108,93.63,93.63,12.76,coarse,
S,0.7,0.9,36,0.5753,11065,11108,99.61,99.61,8.52,coarse,
S,0.8,0.5,681,0.8802,5537,11108,49.85,49.85,38.28,coarse,
S,0.8,0.6,354,0.8732,5622,11108,50.61,50.61,26.05,coarse,
S,0.8,0.7,209,0.8141,7736,11108,69.64,69.64,16.89,coarse,
S,0.8,0.8,103,0.7178,10476,11108,94.31,94.31,13.56,coarse,
S,0.8,0.9,52,0.5795,10691,11108,96.25,96.25,8.94,coarse,
S,0.9,0.5,724,0.8552,5470,11108,49.24,49.24,41.11,coarse,
S,0.9,0.6,414,0.8760,5394,11108,48.56,48.56,27.00,coarse,
S,0.9,0.7,242,0.8243,6864,11108,61.79,61.79,17.99,coarse,
S,0.9,0.8,138,0.7570,9271,11108,83.46,83.46,14.86,coarse,
S,0.9,0.9,32,0.5677,11108,11108,100.00,100.00,8.48,coarse,
News,0.4,0.5,394,0.8689,5552,11109,49.98,49.98,2716.86,coarse,
News,0.4,0.6,288,0.8599,6049,11109,54.45,54.45,1517.38,coarse,
News,0.4,0.7,233,0.8715,7541,11109,67.88,67.88,1055.81,coarse,
News,0.4,0.8,176,0.8479,8468,11109,76.23,76.23,593.48,coarse,
News,0.4,0.9,118,0.7783,9840,11109,88.58,88.58,257.41,coarse,
News,0.5,0.5,415,0.8854,5144,11109,46.30,46.30,357.94,coarse,
News,0.5,0.6,319,0.8583,5527,11109,49.75,49.75,323.72,coarse,
News,0.5,0.7,257,0.8741,6206,11109,55.86,55.86,247.82,coarse,
News,0.5,0.8,201,0.8598,8307,11109,74.78,74.78,132.42,coarse,
News,0.5,0.9,132,0.8114,9023,11109,81.22,81.22,56.00,coarse,
News,0.6,0.5,513,0.8839,4880,11109,43.93,43.93,75.45,coarse,
News,0.6,0.6,345,0.8809,5222,11109,47.01,47.01,56.87,coarse,
News,0.6,0.7,240,0.8732,6982,11109,62.85,62.85,30.40,coarse,
News,0.6,0.8,197,0.8651,7823,11109,70.42,70.42,42.89,coarse,
News,0.6,0.9,154,0.7996,8673,11109,78.07,78.07,22.54,coarse,
News,0.7,0.5,578,0.8971,5169,11109,46.53,46.53,36.65,coarse,
News,0.7,0.6,390,0.8899,4361,11109,39.26,39.26,29.72,coarse,
News,0.7,0.7,293,0.8765,6731,11109,60.59,60.59,24.75,coarse,
News,0.7,0.8,200,0.8491,8029,11109,72.27,72.27,18.63,coarse,
News,0.7,0.9,145,0.7959,9545,11109,85.92,85.92,17.15,coarse,
News,0.8,0.5,687,0.9033,4358,11109,39.23,39.23,45.86,coarse,
News,0.8,0.6,432,0.9034,4716,11109,42.45,42.45,31.23,coarse,
News,0.8,0.7,277,0.8517,5907,11109,53.17,53.17,22.08,coarse,
News,0.8,0.8,189,0.8230,8171,11109,73.55,73.55,16.75,coarse,
News,0.8,0.9,159,0.7831,8241,11109,74.18,74.18,15.28,coarse,
News,0.9,0.5,753,0.8825,4501,11109,40.52,40.52,45.14,coarse,
News,0.9,0.6,537,0.9021,3850,11109,34.66,34.66,36.39,coarse,
News,0.9,0.7,359,0.8758,5173,11109,46.57,46.57,25.56,coarse,
News,0.9,0.8,223,0.8230,7415,11109,66.75,66.75,18.02,coarse,
News,0.9,0.9,151,0.7469,8613,11109,77.53,77.53,15.31,coarse,
T,0.4,0.85,151,0.8184,8469,11108,76.24,76.24,359.13,refine,
T,0.4,0.86,146,0.8058,9279,11108,83.53,83.53,400.94,refine,
T,0.4,0.87,127,0.8089,9633,11108,86.72,86.72,220.12,refine,
T,0.4,0.88,154,0.7970,9014,11108,81.15,81.15,381.06,refine,
T,0.4,0.89,130,0.7779,9295,11108,83.68,83.68,277.57,refine,
T,0.41,0.85,154,0.8166,8993,11108,80.96,80.96,354.24,refine,
T,0.41,0.86,128,0.8096,9400,11108,84.62,84.62,237.05,refine,
T,0.41,0.87,144,0.7824,9074,11108,81.69,81.69,278.16,refine,
T,0.41,0.88,131,0.7888,9203,11108,82.85,82.85,225.13,refine,
T,0.41,0.89,136,0.7781,9616,11108,86.57,86.57,269.70,refine,
T,0.41,0.9,123,0.7706,9915,11108,89.26,89.26,147.95,refine,
T,0.42,0.85,168,0.8139,8130,11108,73.19,73.19,319.90,refine,
T,0.42,0.86,156,0.8001,8317,11108,74.87,74.87,305.67,refine,
T,0.42,0.87,155,0.8052,8496,11108,76.49,76.49,291.24,refine,
T,0.42,0.88,153,0.8042,8784,11108,79.08,79.08,251.00,refine,
T,0.42,0.89,103,0.7616,10072,11108,90.67,90.67,139.19,refine,
T,0.42,0.9,131,0.7698,9288,11108,83.62,83.62,186.75,refine,
T,0.43,0.85,143,0.8078,9264,11108,83.40,83.40,216.20,refine,
T,0.43,0.86,154,0.8212,8454,11108,76.11,76.11,249.86,refine,
T,0.43,0.87,164,0.8185,8271,11108,74.46,74.46,245.02,refine,
T,0.43,0.88,150,0.8012,9245,11108,83.23,83.23,219.00,refine,
T,0.43,0.89,133,0.7891,9052,11108,81.49,81.49,177.41,refine,
T,0.43,0.9,132,0.7825,9726,11108,87.56,87.56,159.36,refine,
T,0.44,0.85,161,0.8160,8630,11108,77.69,77.69,207.51,refine,
T,0.44,0.86,158,0.8223,9397,11108,84.60,84.60,196.19,refine,
T,0.44,0.87,140,0.8107,9214,11108,82.95,82.95,157.56,refine,
T,0.44,0.88,157,0.8057,8406,11108,75.68,75.68,195.62,refine,
T,0.44,0.89,126,0.7850,9752,11108,87.79,87.79,131.72,refine,
T,0.44,0.9,145,0.7853,9144,11108,82.32,82.32,165.58,refine,
T,0.45,0.85,167,0.8291,8846,11108,79.64,79.64,150.31,refine,
T,0.45,0.86,188,0.8128,7926,11108,71.35,71.35,264.61,refine,
T,0.45,0.87,161,0.8048,9004,11108,81.06,81.06,232.13,refine,
T,0.45,0.88,155,0.8035,8885,11108,79.99,79.99,195.10,refine,
T,0.45,0.89,144,0.7927,9038,11108,81.36,81.36,148.86,refine,
T,0.45,0.9,138,0.7818,9241,11108,83.19,83.19,106.95,refine,
T,0.46,0.85,159,0.8199,9019,11108,81.19,81.19,188.11,refine,
T,0.46,0.86,184,0.8235,8023,11108,72.23,72.23,171.10,refine,
T,0.46,0.87,155,0.8035,9039,11108,81.37,81.37,157.00,refine,
T,0.46,0.88,155,0.7995,8726,11108,78.56,78.56,160.39,refine,
T,0.46,0.89,139,0.7834,9109,11108,82.00,82.00,114.58,refine,
T,0.46,0.9,120,0.7618,9862,11108,88.78,88.78,81.71,refine,
T,0.47,0.85,163,0.8411,8912,11108,80.23,80.23,164.06,refine,
T,0.47,0.86,176,0.8250,9082,11108,81.76,81.76,147.07,refine,
T,0.47,0.87,170,0.8028,8272,11108,74.47,74.47,151.77,refine,
T,0.47,0.88,149,0.8146,9085,11108,81.79,81.79,117.21,refine,
T,0.47,0.89,161,0.8142,8753,11108,78.80,78.80,110.67,refine,
T,0.47,0.9,163,0.7940,8618,11108,77.58,77.58,133.06,refine,
T,0.48,0.85,177,0.8489,8426,11108,75.86,75.86,121.92,refine,
T,0.48,0.86,181,0.8167,8350,11108,75.17,75.17,112.58,refine,
T,0.48,0.87,146,0.8267,9585,11108,86.29,86.29,83.24,refine,
T,0.48,0.88,148,0.8134,9146,11108,82.34,82.34,84.75,refine,
T,0.48,0.89,168,0.8098,8093,11108,72.86,72.86,127.66,refine,
T,0.48,0.9,154,0.7917,8939,11108,80.47,80.47,120.52,refine,
T,0.49,0.85,178,0.8502,8354,11108,75.21,75.21,97.64,refine,
T,0.49,0.86,171,0.8269,8401,11108,75.63,75.63,88.75,refine,
T,0.49,0.87,138,0.8057,9508,11108,85.60,85.60,60.21,refine,
T,0.49,0.88,137,0.7938,9255,11108,83.32,83.32,78.52,refine,
T,0.49,0.89,156,0.7909,9518,11108,85.69,85.69,85.55,refine,
T,0.49,0.9,145,0.7825,9645,11108,86.83,86.83,73.98,refine,
T,0.5,0.85,170,0.8295,8444,11108,76.02,76.02,92.25,refine,
T,0.5,0.86,154,0.7881,8914,11108,80.25,80.25,86.61,refine,
T,0.5,0.87,135,0.8185,9643,11108,86.81,86.81,68.19,refine,
T,0.5,0.88,166,0.8060,8983,11108,80.87,80.87,73.07,refine,
T,0.5,0.89,122,0.8072,9934,11108,89.43,89.43,54.18,refine,
T,0.51,0.85,180,0.8390,8404,11108,75.66,75.66,91.97,refine,
T,0.51,0.86,184,0.8211,8496,11108,76.49,76.49,100.74,refine,
T,0.51,0.87,184,0.8154,8200,11108,73.82,73.82,92.92,refine,
T,0.51,0.88,155,0.8111,9743,11108,87.71,87.71,68.67,refine,
T,0.51,0.89,160,0.8114,9640,11108,86.78,86.78,65.25,refine,
T,0.51,0.9,138,0.7431,9194,11108,82.77,82.77,61.55,refine,
T,0.52,0.85,177,0.8111,8382,11108,75.46,75.46,62.67,refine,
T,0.52,0.86,168,0.8164,8449,11108,76.06,76.06,72.09,refine,
T,0.52,0.87,161,0.8047,8501,11108,76.53,76.53,63.72,refine,
T,0.52,0.88,160,0.8248,8854,11108,79.71,79.71,64.23,refine,
T,0.52,0.89,136,0.8010,9301,11108,83.73,83.73,48.70,refine,
T,0.52,0.9,138,0.7790,9584,11108,86.28,86.28,46.01,refine,
T,0.53,0.85,190,0.8260,7927,11108,71.36,71.36,83.34,refine,
T,0.53,0.86,144,0.8011,9431,11108,84.90,84.90,42.12,refine,
T,0.53,0.87,189,0.7973,8165,11108,73.51,73.51,71.18,refine,
T,0.53,0.88,149,0.7927,8878,11108,79.92,79.92,49.10,refine,
T,0.53,0.89,132,0.7781,8794,11108,79.17,79.17,47.38,refine,
T,0.53,0.9,128,0.7744,9198,11108,82.81,82.81,39.84,refine,
T,0.54,0.85,162,0.8254,9305,11108,83.77,83.77,57.16,refine,
T,0.54,0.86,172,0.8368,9097,11108,81.90,81.90,61.18,refine,
T,0.54,0.87,138,0.8044,9165,11108,82.51,82.51,39.66,refine,
T,0.54,0.88,166,0.7877,8235,11108,74.14,74.14,47.57,refine,
T,0.54,0.89,148,0.7724,8703,11108,78.35,78.35,47.18,refine,
T,0.54,0.9,140,0.7766,9294,11108,83.67,83.67,47.52,refine,
T,0.55,0.85,157,0.8180,9136,11108,82.25,82.25,42.31,refine,
T,0.55,0.86,188,0.8124,7998,11108,72.00,72.00,61.50,refine,
T,0.55,0.87,175,0.8308,7826,11108,70.45,70.45,51.51,refine,
T,0.55,0.88,149,0.7986,9464,11108,85.20,85.20,44.20,refine,
T,0.55,0.89,126,0.7922,9572,11108,86.17,86.17,35.02,refine,
T,0.55,0.9,151,0.8194,8906,11108,80.18,80.18,41.30,refine,
T,0.65,0.85,183,0.8283,8121,11108,73.11,73.11,25.65,refine,
T,0.65,0.86,181,0.8273,8573,11108,77.18,77.18,24.10,refine,
T,0.65,0.87,163,0.8162,8547,11108,76.94,76.94,21.10,refine,
T,0.65,0.88,158,0.8013,9364,11108,84.30,84.30,21.04,refine,
T,0.65,0.89,157,0.7876,8713,11108,78.44,78.44,22.47,refine,
T,0.65,0.9,151,0.8033,8933,11108,80.42,80.42,20.53,refine,
T,0.66,0.85,175,0.8385,8411,11108,75.72,75.72,19.83,refine,
T,0.66,0.86,172,0.8188,8690,11108,78.23,78.23,21.70,refine,
T,0.66,0.87,164,0.8088,8839,11108,79.57,79.57,18.37,refine,
T,0.66,0.88,173,0.8219,8346,11108,75.14,75.14,20.44,refine,
T,0.66,0.89,149,0.7927,9041,11108,81.39,81.39,17.36,refine,
T,0.66,0.9,162,0.8143,8150,11108,73.37,73.37,19.84,refine,
T,0.67,0.85,175,0.8302,8140,11108,73.28,73.28,18.74,refine,
T,0.67,0.86,155,0.8239,8458,11108,76.14,76.14,18.19,refine,
T,0.67,0.87,161,0.8023,8806,11108,79.28,79.28,20.05,refine,
T,0.67,0.88,155,0.8096,8530,11108,76.79,76.79,18.52,refine,
T,0.67,0.89,147,0.7852,9323,11108,83.93,83.93,20.43,refine,
T,0.67,0.9,158,0.8022,8763,11108,78.89,78.89,19.26,refine,
T,0.68,0.85,175,0.8376,8575,11108,77.20,77.20,19.90,refine,
T,0.68,0.86,179,0.8236,8301,11108,74.73,74.73,19.45,refine,
T,0.68,0.87,149,0.8226,8761,11108,78.87,78.87,19.32,refine,
T,0.68,0.88,141,0.7766,8741,11108,78.69,78.69,19.24,refine,
T,0.68,0.89,151,0.7913,9361,11108,84.27,84.27,17.43,refine,
T,0.68,0.9,134,0.7830,9491,11108,85.44,85.44,18.25,refine,
T,0.69,0.85,183,0.8185,8313,11108,74.84,74.84,18.89,refine,
T,0.69,0.86,177,0.8380,8574,11108,77.19,77.19,21.03,refine,
T,0.69,0.87,175,0.8215,8290,11108,74.63,74.63,18.95,refine,
T,0.69,0.88,144,0.7997,8870,11108,79.85,79.85,16.13,refine,
T,0.69,0.89,158,0.7871,8225,11108,74.05,74.05,19.25,refine,
T,0.69,0.9,152,0.7854,9084,11108,81.78,81.78,18.40,refine,
T,0.7,0.85,166,0.8408,8753,11108,78.80,78.80,19.18,refine,
T,0.7,0.86,174,0.8224,8209,11108,73.90,73.90,18.90,refine,
T,0.7,0.87,165,0.8146,8353,11108,75.20,75.20,18.48,refine,
T,0.7,0.88,152,0.8194,9006,11108,81.08,81.08,17.92,refine,
T,0.7,0.89,144,0.8013,9115,11108,82.06,82.06,17.49,refine,
T,0.71,0.85,157,0.8329,8683,11108,78.17,78.17,17.18,refine,
T,0.71,0.86,159,0.8059,8399,11108,75.61,75.61,17.34,refine,
T,0.71,0.87,150,0.8024,9032,11108,81.31,81.31,16.28,refine,
T,0.71,0.88,172,0.8417,8628,11108,77.67,77.67,18.23,refine,
T,0.71,0.89,159,0.8212,8895,11108,80.08,80.08,18.69,refine,
T,0.71,0.9,143,0.7938,9107,11108,81.99,81.99,15.66,refine,
T,0.72,0.85,171,0.8291,8871,11108,79.86,79.86,17.09,refine,
T,0.72,0.86,166,0.8350,8352,11108,75.19,75.19,17.69,refine,
T,0.72,0.87,173,0.8063,8561,11108,77.07,77.07,19.15,refine,
T,0.72,0.88,165,0.8053,8839,11108,79.57,79.57,17.41,refine,
T,0.72,0.89,152,0.7992,8810,11108,79.31,79.31,16.13,refine,
T,0.72,0.9,160,0.8140,8840,11108,79.58,79.58,19.10,refine,
T,0.73,0.85,176,0.8375,8546,11108,76.94,76.94,17.20,refine,
T,0.73,0.86,170,0.8191,8617,11108,77.57,77.57,17.00,refine,
T,0.73,0.87,155,0.8188,8502,11108,76.54,76.54,16.18,refine,
T,0.73,0.88,147,0.8060,8751,11108,78.78,78.78,17.73,refine,
T,0.73,0.89,151,0.7823,9515,11108,85.66,85.66,17.71,refine,
T,0.73,0.9,149,0.8076,8802,11108,79.24,79.24,17.02,refine,
T,0.74,0.85,198,0.8500,7822,11108,70.42,70.42,19.84,refine,
T,0.74,0.86,173,0.8209,8337,11108,75.05,75.05,18.08,refine,
T,0.74,0.87,173,0.8261,8312,11108,74.83,74.83,17.18,refine,
T,0.74,0.88,162,0.8246,8171,11108,73.56,73.56,16.97,refine,
T,0.74,0.89,176,0.8172,8299,11108,74.71,74.71,18.61,refine,
T,0.74,0.9,138,0.7637,9380,11108,84.44,84.44,16.02,refine,
T,0.75,0.85,165,0.8290,8530,11108,76.79,76.79,16.83,refine,
T,0.75,0.86,149,0.8267,9073,11108,81.68,81.68,15.02,refine,
T,0.75,0.87,139,0.8250,9271,11108,83.46,83.46,16.39,refine,
T,0.75,0.88,172,0.7968,8875,11108,79.90,79.90,19.01,refine,
T,0.75,0.89,162,0.8034,9187,11108,82.71,82.71,17.25,refine,
T,0.75,0.9,157,0.7950,8685,11108,78.19,78.19,15.70,refine,
TS,0.45,0.55,225,0.9264,7830,11109,70.48,70.48,54.37,refine,
TS,0.45,0.56,232,0.9299,7841,11109,70.58,70.58,71.17,refine,
TS,0.45,0.57,229,0.9254,7782,11109,70.05,70.05,59.18,refine,
TS,0.45,0.58,239,0.9210,7614,11109,68.54,68.54,52.66,refine,
TS,0.45,0.59,208,0.9296,8254,11109,74.30,74.30,40.94,refine,
TS,0.45,0.6,211,0.9268,8019,11109,72.18,72.18,48.75,refine,
TS,0.45,0.61,188,0.9312,8418,11109,75.78,75.78,31.39,refine,
TS,0.45,0.62,195,0.9207,8019,11109,72.18,72.18,33.98,refine,
TS,0.45,0.63,174,0.9263,8929,11109,80.38,80.38,31.84,refine,
TS,0.45,0.64,177,0.9200,8723,11109,78.52,78.52,36.96,refine,
TS,0.45,0.65,161,0.9309,8628,11109,77.67,77.67,21.83,refine,
TS,0.45,0.66,161,0.9184,8948,11109,80.55,80.55,28.56,refine,
TS,0.45,0.67,187,0.9168,8734,11109,78.62,78.62,28.86,refine,
TS,0.45,0.68,159,0.9098,8770,11109,78.94,78.94,26.34,refine,
TS,0.45,0.69,155,0.9072,9071,11109,81.65,81.65,25.25,refine,
TS,0.45,0.7,154,0.9049,8846,11109,79.63,79.63,21.97,refine,
TS,0.45,0.71,153,0.9070,9258,11109,83.34,83.34,21.24,refine,
TS,0.45,0.72,153,0.8872,8834,11109,79.52,79.52,28.00,refine,
TS,0.45,0.73,147,0.9014,9039,11109,81.37,81.37,23.18,refine,
TS,0.45,0.74,152,0.8686,9342,11109,84.09,84.09,23.66,refine,
TS,0.45,0.75,122,0.8704,8742,11109,78.69,78.69,21.78,refine,
TS,0.46,0.55,255,0.9171,7760,11109,69.85,69.85,51.37,refine,
TS,0.46,0.56,240,0.9282,7194,11109,64.76,64.76,75.84,refine,
TS,0.46,0.57,226,0.9269,7619,11109,68.58,68.58,50.20,refine,
TS,0.46,0.58,218,0.9244,8091,11109,72.83,72.83,46.02,refine,
TS,0.46,0.59,205,0.9226,8152,11109,73.38,73.38,36.11,refine,
TS,0.46,0.6,200,0.9280,8247,11109,74.24,74.24,42.64,refine,
TS,0.46,0.61,210,0.9242,7339,11109,66.06,66.06,32.52,refine,
TS,0.46,0.62,189,0.9184,7896,11109,71.08,71.08,26.17,refine,
TS,0.46,0.63,197,0.9291,8626,11109,77.65,77.65,31.03,refine,
TS,0.46,0.64,168,0.9258,9040,11109,81.38,81.38,20.89,refine,
TS,0.46,0.65,180,0.9217,8555,11109,77.01,77.01,34.89,refine,
TS,0.46,0.66,170,0.9195,9022,11109,81.21,81.21,27.23,refine,
TS,0.46,0.67,172,0.9091,8471,11109,76.25,76.25,34.15,refine,
TS,0.46,0.68,157,0.8925,8537,11109,76.85,76.85,28.36,refine,
TS,0.46,0.69,165,0.8975,8930,11109,80.39,80.39,25.24,refine,
TS,0.46,0.7,158,0.9032,8828,11109,79.47,79.47,24.74,refine,
TS,0.46,0.71,167,0.9074,9019,11109,81.19,81.19,26.62,refine,
TS,0.46,0.72,146,0.8949,9376,11109,84.40,84.40,23.00,refine,
TS,0.46,0.73,157,0.8945,8908,11109,80.19,80.19,24.63,refine,
TS,0.46,0.74,142,0.8901,9069,11109,81.64,81.64,21.65,refine,
TS,0.46,0.75,143,0.8694,9136,11109,82.24,82.24,24.64,refine,
TS,0.47,0.55,241,0.9296,7325,11109,65.94,65.94,51.52,refine,
TS,0.47,0.56,237,0.9180,7562,11109,68.07,68.07,51.79,refine,
TS,0.47,0.57,221,0.9309,7719,11109,69.48,69.48,47.90,refine,
TS,0.47,0.58,214,0.9257,7806,11109,70.27,70.27,32.95,refine,
TS,0.47,0.59,213,0.9360,7657,11109,68.93,68.93,45.92,refine,
TS,0.47,0.6,217,0.9201,7930,11109,71.38,71.38,44.48,refine,
TS,0.47,0.61,195,0.9244,8008,11109,72.09,72.09,34.84,refine,
TS,0.47,0.62,189,0.9318,8116,11109,73.06,73.06,27.73,refine,
TS,0.47,0.63,193,0.9270,7890,11109,71.02,71.02,34.68,refine,
TS,0.47,0.64,176,0.9277,8562,11109,77.07,77.07,24.90,refine,
TS,0.47,0.65,180,0.9149,8369,11109,75.34,75.34,29.80,refine,
TS,0.47,0.66,174,0.9209,8813,11109,79.33,79.33,28.06,refine,
TS,0.47,0.67,178,0.9082,8293,11109,74.65,74.65,32.10,refine,
TS,0.47,0.68,175,0.9163,8752,11109,78.78,78.78,24.89,refine,
TS,0.47,0.69,165,0.9028,8805,11109,79.26,79.26,24.41,refine,
TS,0.47,0.7,157,0.9078,9261,11109,83.36,83.36,21.42,refine,
TS,0.47,0.71,157,0.8991,8484,11109,76.37,76.37,23.33,refine,
TS,0.47,0.72,163,0.8843,8747,11109,78.74,78.74,22.88,refine,
TS,0.47,0.73,146,0.8814,9191,11109,82.73,82.73,18.76,refine,
TS,0.47,0.74,151,0.8849,9529,11109,85.78,85.78,22.30,refine,
TS,0.47,0.75,143,0.8666,9133,11109,82.21,82.21,20.33,refine,
TS,0.48,0.55,253,0.9195,7116,11109,64.06,64.06,40.47,refine,
TS,0.48,0.56,246,0.9240,7359,11109,66.24,66.24,39.59,refine,
TS,0.48,0.57,224,0.9235,7443,11109,67.00,67.00,38.35,refine,
TS,0.48,0.58,223,0.9250,7640,11109,68.77,68.77,30.81,refine,
TS,0.48,0.59,204,0.9115,7581,11109,68.24,68.24,25.17,refine,
TS,0.48,0.6,194,0.9323,8516,11109,76.66,76.66,28.32,refine,
TS,0.48,0.61,204,0.9250,8471,11109,76.25,76.25,25.49,refine,
TS,0.48,0.62,217,0.9292,8231,11109,74.09,74.09,32.95,refine,
TS,0.48,0.63,187,0.9326,8197,11109,73.79,73.79,25.53,refine,
